# Aluminum phonon density of states. 
# x axis: energy in meV
# Energy(meV)     DOS
1.953122240581367564e+01 5.430001565907117272e-02
1.961294300165389970e+01 5.415636980230566916e-02
1.969466359749412376e+01 5.395918275077193904e-02
1.977638419333434783e+01 5.372640295365142121e-02
1.985810478917457189e+01 5.345359411688820062e-02
1.993982538501479596e+01 5.310533851106381820e-02
2.002154598085502002e+01 5.270594959546270192e-02
2.010326657669524764e+01 5.236305956880524942e-02
2.018498717253547170e+01 5.217630108188051757e-02
2.026670776837569576e+01 5.215016277140566842e-02
2.034842836421591983e+01 5.219674075819011327e-02
2.043014896005614389e+01 5.217953178162233058e-02
2.051186955589636796e+01 5.203173867298093586e-02
2.059359015173659202e+01 5.176824304340805344e-02
2.067531074757681964e+01 5.145569719670946285e-02
2.075703134341704370e+01 5.119645671957344379e-02
2.083875193925726776e+01 5.107529557399326930e-02
2.092047253509749183e+01 5.109376828616699062e-02
2.100219313093771589e+01 5.117606195824597748e-02
2.108391372677793996e+01 5.125765517161866985e-02
2.116563432261816402e+01 5.128514098710057478e-02
2.124735491845839164e+01 5.124198449236982283e-02
2.132907551429861570e+01 5.114466158422628639e-02
2.141079611013883977e+01 5.103669421162446845e-02
2.149251670597906383e+01 5.098665682675702915e-02
2.157423730181928789e+01 5.099199218611576850e-02
2.165595789765951196e+01 5.099644872796235684e-02
2.173767849349973602e+01 5.092340524549331809e-02
2.181939908933996364e+01 5.075276713094421799e-02
2.190111968518018770e+01 5.053823996190981438e-02
2.198284028102041177e+01 5.038714711562555792e-02
2.206456087686063583e+01 5.036620625224334791e-02
2.214628147270085989e+01 5.042607631822771524e-02
2.222800206854108396e+01 5.051478456695471936e-02
2.230972266438130802e+01 5.060527601193283431e-02
2.239144326022153564e+01 5.066769783389615811e-02
2.247316385606175970e+01 5.067141342899257606e-02
2.255488445190198377e+01 5.063594099311057722e-02
2.263660504774220783e+01 5.065084727240822676e-02
2.271832564358243189e+01 5.079242393073726131e-02
2.280004623942265596e+01 5.107910250686858999e-02
2.288176683526288002e+01 5.147530272386063172e-02
2.296348743110310764e+01 5.192709062985518403e-02
2.304520802694333170e+01 5.237364729435345367e-02
2.312692862278355577e+01 5.278871051802195430e-02
2.320864921862377983e+01 5.317902555240657664e-02
2.329036981446400389e+01 5.351406299664836913e-02
2.337209041030422796e+01 5.372544617938140865e-02
2.345381100614445202e+01 5.374191062946498398e-02
2.353553160198467964e+01 5.351025020641053676e-02
2.361725219782490370e+01 5.299514299641763793e-02
2.369897279366512777e+01 5.223616526105405444e-02
2.378069338950535183e+01 5.131334498367053076e-02
2.386241398534557590e+01 5.026918440010644945e-02
2.394413458118579996e+01 4.912141641527482949e-02
2.402585517702602402e+01 4.790741681353555270e-02
2.410757577286625164e+01 4.667908101179343849e-02
2.418929636870647570e+01 4.545068182057529493e-02
2.427101696454669977e+01 4.420383063210449326e-02
2.435273756038692383e+01 4.291551147026632235e-02
2.443445815622714790e+01 4.158916290092316836e-02
2.451617875206737196e+01 4.027199121200002868e-02
2.459789934790759958e+01 3.903524654126499377e-02
2.467961994374782364e+01 3.793055703032846560e-02
2.476134053958804770e+01 3.698387193801810219e-02
2.484306113542827177e+01 3.622902435973633650e-02
2.492478173126849583e+01 3.565964718128256106e-02
2.500650232710871990e+01 3.524498199981111052e-02
2.508822292294894396e+01 3.495696468253791517e-02
2.516994351878917158e+01 3.473429574106270956e-02
2.525166411462939564e+01 3.451238837215212657e-02
2.533338471046961971e+01 3.423894494826581342e-02
2.541510530630984377e+01 3.387021437114725447e-02
2.549682590215006783e+01 3.337190617469571602e-02
2.557854649799029190e+01 3.273878653265844402e-02
2.566026709383051596e+01 3.200196841977523410e-02
2.574198768967074358e+01 3.124180193446613948e-02
2.582370828551096764e+01 3.054203319062866184e-02
2.590542888135119171e+01 2.995011248444845800e-02
2.598714947719141577e+01 2.949937214619484036e-02
2.606887007303163983e+01 2.919770140707898462e-02
2.615059066887186390e+01 2.906768548602826907e-02
2.623231126471208796e+01 2.910338720684848418e-02
2.631403186055231558e+01 2.923377036838445062e-02
2.639575245639253964e+01 2.932962364911787662e-02
2.647747305223276371e+01 2.926116232262723424e-02
2.655919364807298777e+01 2.901315150522544573e-02
2.664091424391321183e+01 2.861502347697722839e-02
2.672263483975343590e+01 2.808676245979225758e-02
2.680435543559365996e+01 2.749247166007488807e-02
2.688607603143388758e+01 2.688373535160219416e-02
2.696779662727411164e+01 2.627170766365350546e-02
2.704951722311433571e+01 2.570702163606779223e-02
2.713123781895455977e+01 2.523743819283502665e-02
2.721295841479478383e+01 2.485121741845841559e-02
2.729467901063500790e+01 2.451708761413851079e-02
2.737639960647523196e+01 2.421354413616334453e-02
2.745812020231545958e+01 2.396604913384915367e-02
2.753984079815568364e+01 2.376838748294627865e-02
2.762156139399590771e+01 2.357153579729106760e-02
2.770328198983613177e+01 2.339077284406486032e-02
2.778500258567635584e+01 2.325167020730956394e-02
2.786672318151657990e+01 2.314783275809212740e-02
2.794844377735680396e+01 2.305325908667671397e-02
2.803016437319703158e+01 2.295457444545933451e-02
2.811188496903725564e+01 2.287493522280942618e-02
2.819360556487747971e+01 2.280895155655818587e-02
2.827532616071770377e+01 2.272648724616229202e-02
2.835704675655792784e+01 2.259099401607654253e-02
2.843876735239815190e+01 2.238269339130894917e-02
2.852048794823837596e+01 2.215692686898080785e-02
2.860220854407860358e+01 2.197283339647938816e-02
2.868392913991882764e+01 2.181349655174927640e-02
2.876564973575905171e+01 2.168271967550402385e-02
2.884737033159927577e+01 2.161440388759491155e-02
2.892909092743949984e+01 2.161905658185380927e-02
2.901081152327972390e+01 2.166214064221312977e-02
2.909253211911994796e+01 2.166141521342462503e-02
2.917425271496017558e+01 2.160584493054037991e-02
2.925597331080039964e+01 2.154036051557076462e-02
2.933769390664062371e+01 2.148010808361620200e-02
2.941941450248084777e+01 2.140437024109460851e-02
2.950113509832107184e+01 2.128756736161688951e-02
2.958285569416129590e+01 2.114778490433930069e-02
2.966457629000151996e+01 2.104915270425796597e-02
2.974629688584174758e+01 2.103467307304907399e-02
2.982801748168197165e+01 2.110296241454271554e-02
2.990973807752219571e+01 2.123023664275877284e-02
2.999145867336241977e+01 2.138670584597504934e-02
3.007317926920264384e+01 2.153461394001185761e-02
3.015489986504286790e+01 2.162061465635220503e-02
3.023662046088309197e+01 2.160118259305028945e-02
3.031834105672331958e+01 2.146925434529805068e-02
3.040006165256354365e+01 2.122617241219125137e-02
3.048178224840376771e+01 2.088507041156896504e-02
3.056350284424399177e+01 2.050653797603757891e-02
3.064522344008421584e+01 2.017031295832740628e-02
3.072694403592443990e+01 1.994794959499071596e-02
3.080866463176466397e+01 1.985901554339618638e-02
3.089038522760489158e+01 1.988645976430453849e-02
3.097210582344511565e+01 1.999459875033278433e-02
3.105382641928533971e+01 2.014522491653119793e-02
3.113554701512556377e+01 2.032279805583488488e-02
3.121726761096578784e+01 2.049132015400111431e-02
3.129898820680601190e+01 2.058759427399616329e-02
3.138070880264623952e+01 2.056353326859475597e-02
3.146242939848646358e+01 2.041580903223101651e-02
3.154414999432668765e+01 2.018224459141247998e-02
3.162587059016691171e+01 1.991153341906872279e-02
3.170759118600713578e+01 1.963059660626495853e-02
3.178931178184735984e+01 1.934665498414639764e-02
3.187103237768758390e+01 1.908358755784503313e-02
3.195275297352781152e+01 1.888209888934549302e-02
3.203447356936803203e+01 1.878254914719180990e-02
3.211619416520825609e+01 1.879119593945460798e-02
3.219791476104848016e+01 1.886993140786617437e-02
3.227963535688871133e+01 1.896024605752581402e-02
3.236135595272893539e+01 1.899025167371154454e-02
3.244307654856915946e+01 1.891580362086173195e-02
3.252479714440938352e+01 1.872525142586557029e-02
3.260651774024960758e+01 1.843136194045867648e-02
3.268823833608983165e+01 1.808118217731831401e-02
3.276995893193005571e+01 1.773104498166666598e-02
3.285167952777027978e+01 1.742975714970713269e-02
3.293340012361050384e+01 1.720087698658390174e-02
3.301512071945072790e+01 1.703807247399626371e-02
3.309684131529095197e+01 1.691666855107800890e-02
3.317856191113117603e+01 1.683813615906759598e-02
3.326028250697140010e+01 1.687922916967507514e-02
3.334200310281162416e+01 1.710554694377645207e-02
3.342372369865185533e+01 1.754180825343098354e-02
3.350544429449207939e+01 1.814408600261641774e-02
3.358716489033230346e+01 1.880893908771465867e-02
3.366888548617252752e+01 1.951232795612439785e-02
3.375060608201275159e+01 2.029700297062237216e-02
3.383232667785297565e+01 2.121122200624443038e-02
3.391404727369319971e+01 2.227264597239687893e-02
3.399576786953342378e+01 2.348845261856833538e-02
3.407748846537364784e+01 2.483980979677880702e-02
3.415920906121387191e+01 2.631272551190370554e-02
3.424092965705409597e+01 2.790539952496633169e-02
3.432265025289432003e+01 2.958878383317027280e-02
3.440437084873454410e+01 3.135089268754869679e-02
3.448609144457476816e+01 3.323993846796331059e-02
3.456781204041499933e+01 3.530639648345258730e-02
3.464953263625522339e+01 3.759119371669365772e-02
3.473125323209544746e+01 4.014043327705011516e-02
3.481297382793567152e+01 4.291074477867674181e-02
3.489469442377589559e+01 4.577292635673397420e-02
3.497641501961611965e+01 4.860558163992621111e-02
3.505813561545634371e+01 5.132863568794208964e-02
3.513985621129656778e+01 5.391501566333653517e-02
3.522157680713679184e+01 5.635559525384926938e-02
3.530329740297701591e+01 5.859328689420079811e-02
3.538501799881723997e+01 6.057507653029708949e-02
3.546673859465746403e+01 6.226530988595770783e-02
3.554845919049768810e+01 6.367283650236021941e-02
3.563017978633791927e+01 6.482783202098205133e-02
3.571190038217814333e+01 6.583057829818204920e-02
3.579362097801836740e+01 6.678769464137548906e-02
3.587534157385859146e+01 6.771100177955167998e-02
3.595706216969881552e+01 6.854416463776617785e-02
3.603878276553903959e+01 6.918184392001704153e-02
3.612050336137926365e+01 6.950774809586603153e-02
3.620222395721948772e+01 6.948043977940986105e-02
3.628394455305971178e+01 6.908011529341075152e-02
3.636566514889993584e+01 6.822353070922705653e-02
3.644738574474015991e+01 6.686659586560900204e-02
3.652910634058038397e+01 6.500849032833666552e-02
3.661082693642060804e+01 6.271803327065850198e-02
3.669254753226083210e+01 6.013958092194347099e-02
